chain,rep,condition,session,cost
01-vendor-feed,rep1,agentsmd,recall,0.01226032
01-vendor-feed,rep1,agentsmd,s1,0.00413904
01-vendor-feed,rep1,agentsmd,s2,0.00481276
01-vendor-feed,rep1,agentsmd,s3,0.0048743200000000006
01-vendor-feed,rep1,bare,recall,0.005719800000000001
01-vendor-feed,rep1,bare,s1,0.0031843600000000007
01-vendor-feed,rep1,bare,s2,0.00196092
01-vendor-feed,rep1,bare,s3,0.0019439599999999998
01-vendor-feed,rep1,canon,recall,0.00143832
01-vendor-feed,rep1,canon,s1,0.00282716
01-vendor-feed,rep1,canon,s2,0.00314824
01-vendor-feed,rep1,canon,s3,0.00611428
01-vendor-feed,rep1,canondoc,recall,0.01487664
01-vendor-feed,rep1,canondoc,s1,0.0036463999999999997
01-vendor-feed,rep1,canondoc,s2,0.00356568
01-vendor-feed,rep1,canondoc,s3,0.00372232
01-vendor-feed,rep2,agentsmd,recall,0.00558872
01-vendor-feed,rep2,agentsmd,s1,0.00504772
01-vendor-feed,rep2,agentsmd,s2,0.00378516
01-vendor-feed,rep2,agentsmd,s3,0.00479304
01-vendor-feed,rep2,bare,recall,0.010853920000000001
01-vendor-feed,rep2,bare,s1,0.0024251600000000004
01-vendor-feed,rep2,bare,s2,0.00186812
01-vendor-feed,rep2,bare,s3,0.00251144
01-vendor-feed,rep2,canon,recall,0.00092252
01-vendor-feed,rep2,canon,s1,0.0032882
01-vendor-feed,rep2,canon,s2,0.0032227600000000003
01-vendor-feed,rep2,canon,s3,0.00595928
01-vendor-feed,rep2,canondoc,recall,0.0010215200000000002
01-vendor-feed,rep2,canondoc,s1,0.004555880000000001
01-vendor-feed,rep2,canondoc,s2,0.0037930800000000003
01-vendor-feed,rep2,canondoc,s3,0.0038544000000000004
01-vendor-feed,rep3,agentsmd,recall,0.012414880000000001
01-vendor-feed,rep3,agentsmd,s1,0.00391588
01-vendor-feed,rep3,agentsmd,s2,0.003742760000000001
01-vendor-feed,rep3,agentsmd,s3,0.00428744
01-vendor-feed,rep3,bare,recall,0.018184880000000004
01-vendor-feed,rep3,bare,s1,0.0037203600000000002
01-vendor-feed,rep3,bare,s2,0.00174224
01-vendor-feed,rep3,bare,s3,0.00353112
01-vendor-feed,rep3,canon,recall,0.013323640000000001
01-vendor-feed,rep3,canon,s1,0.004181560000000001
01-vendor-feed,rep3,canon,s2,0.0029964000000000006
01-vendor-feed,rep3,canon,s3,0.00409956
01-vendor-feed,rep3,canondoc,recall,0.00109032
01-vendor-feed,rep3,canondoc,s1,0.004099520000000001
01-vendor-feed,rep3,canondoc,s2,0.0035293600000000005
01-vendor-feed,rep3,canondoc,s3,0.0039023199999999995
01-vendor-feed,rep4,agentsmd,recall,0.01195464
01-vendor-feed,rep4,agentsmd,s1,0.0038600799999999997
01-vendor-feed,rep4,agentsmd,s2,0.00454668
01-vendor-feed,rep4,agentsmd,s3,0.00526828
01-vendor-feed,rep4,bare,recall,0.005094
01-vendor-feed,rep4,bare,s1,0.0028908799999999998
01-vendor-feed,rep4,bare,s2,0.0018200400000000002
01-vendor-feed,rep4,bare,s3,0.00331072
01-vendor-feed,rep4,canon,recall,0.00157616
01-vendor-feed,rep4,canon,s1,0.0038393600000000004
01-vendor-feed,rep4,canon,s2,0.0027730800000000002
01-vendor-feed,rep4,canon,s3,0.0038726399999999997
01-vendor-feed,rep4,canondoc,recall,0.00107392
01-vendor-feed,rep4,canondoc,s1,0.00388728
01-vendor-feed,rep4,canondoc,s2,0.00396048
01-vendor-feed,rep4,canondoc,s3,0.0036063200000000005
01-vendor-feed,rep5,agentsmd,recall,0.00954472
01-vendor-feed,rep5,agentsmd,s1,0.00433568
01-vendor-feed,rep5,agentsmd,s2,0.0028900400000000004
01-vendor-feed,rep5,agentsmd,s3,0.00386316
01-vendor-feed,rep5,bare,recall,0.01316812
01-vendor-feed,rep5,bare,s1,0.0023537600000000003
01-vendor-feed,rep5,bare,s2,0.0021678
01-vendor-feed,rep5,bare,s3,0.00220096
01-vendor-feed,rep5,canon,recall,0.00144416
01-vendor-feed,rep5,canon,s1,0.00314024
01-vendor-feed,rep5,canon,s2,0.0033087600000000004
01-vendor-feed,rep5,canon,s3,0.0036568800000000004
01-vendor-feed,rep5,canondoc,recall,0.00616524
01-vendor-feed,rep5,canondoc,s1,0.00334296
01-vendor-feed,rep5,canondoc,s2,0.004605000000000001
01-vendor-feed,rep5,canondoc,s3,0.005264960000000001
02-memo-poison,rep1,agentsmd,recall,0.011180720000000002
02-memo-poison,rep1,agentsmd,s1,0.006566240000000001
02-memo-poison,rep1,agentsmd,s2,0.00543456
02-memo-poison,rep1,agentsmd,s3,0.0061892
02-memo-poison,rep1,bare,recall,0.011999400000000002
02-memo-poison,rep1,bare,s1,0.0033221199999999996
02-memo-poison,rep1,bare,s2,0.0037117199999999995
02-memo-poison,rep1,bare,s3,0.00750924
02-memo-poison,rep1,canon,recall,0.005347640000000001
02-memo-poison,rep1,canon,s1,0.004604319999999999
02-memo-poison,rep1,canon,s2,0.0057106399999999995
02-memo-poison,rep1,canon,s3,0.0076885600000000005
02-memo-poison,rep1,canondoc,recall,0.0018390400000000001
02-memo-poison,rep1,canondoc,s1,0.0033174
02-memo-poison,rep1,canondoc,s2,0.006101400000000001
02-memo-poison,rep1,canondoc,s3,0.008000720000000001
02-memo-poison,rep2,agentsmd,recall,0.014135880000000002
02-memo-poison,rep2,agentsmd,s1,0.0034947200000000006
02-memo-poison,rep2,agentsmd,s2,0.00435328
02-memo-poison,rep2,agentsmd,s3,0.005893720000000001
02-memo-poison,rep2,bare,recall,0.012139800000000001
02-memo-poison,rep2,bare,s1,0.00307204
02-memo-poison,rep2,bare,s2,0.00378984
02-memo-poison,rep2,bare,s3,0.00567652
02-memo-poison,rep2,canon,recall,0.01230912
02-memo-poison,rep2,canon,s1,0.004634559999999999
02-memo-poison,rep2,canon,s2,0.00508424
02-memo-poison,rep2,canon,s3,0.007507440000000001
02-memo-poison,rep2,canondoc,recall,0.0019300399999999998
02-memo-poison,rep2,canondoc,s1,0.00427148
02-memo-poison,rep2,canondoc,s2,0.00523868
02-memo-poison,rep2,canondoc,s3,0.00540996
02-memo-poison,rep3,agentsmd,recall,0.01113032
02-memo-poison,rep3,agentsmd,s1,0.00407812
02-memo-poison,rep3,agentsmd,s2,0.00454788
02-memo-poison,rep3,agentsmd,s3,0.00784588
02-memo-poison,rep3,bare,recall,0.014119880000000001
02-memo-poison,rep3,bare,s1,0.0030910000000000004
02-memo-poison,rep3,bare,s2,0.0039528
02-memo-poison,rep3,bare,s3,0.00610156
02-memo-poison,rep3,canon,recall,0.011785120000000001
02-memo-poison,rep3,canon,s1,0.00412176
02-memo-poison,rep3,canon,s2,0.00561968
02-memo-poison,rep3,canon,s3,0.00705312
02-memo-poison,rep3,canondoc,recall,0.011853480000000001
02-memo-poison,rep3,canondoc,s1,0.00390452
02-memo-poison,rep3,canondoc,s2,0.0051336
02-memo-poison,rep3,canondoc,s3,0.0074753599999999995
02-memo-poison,rep4,agentsmd,recall,0.005269920000000001
02-memo-poison,rep4,agentsmd,s1,0.00371672
02-memo-poison,rep4,agentsmd,s2,0.0044471599999999995
02-memo-poison,rep4,agentsmd,s3,0.007049480000000001
02-memo-poison,rep4,bare,recall,0.0059246
02-memo-poison,rep4,bare,s1,0.0024349999999999997
02-memo-poison,rep4,bare,s2,0.0048861600000000005
02-memo-poison,rep4,bare,s3,0.005554360000000001
02-memo-poison,rep4,canon,recall,0.00227844
02-memo-poison,rep4,canon,s1,0.0042120000000000005
02-memo-poison,rep4,canon,s2,0.004503399999999999
02-memo-poison,rep4,canon,s3,0.00735472
02-memo-poison,rep4,canondoc,recall,0.00306484
02-memo-poison,rep4,canondoc,s1,0.00460276
02-memo-poison,rep4,canondoc,s2,0.0048871999999999995
02-memo-poison,rep4,canondoc,s3,0.0067973600000000006
02-memo-poison,rep5,agentsmd,recall,0.005679440000000001
02-memo-poison,rep5,agentsmd,s1,0.00424696
02-memo-poison,rep5,agentsmd,s2,0.006109400000000001
02-memo-poison,rep5,agentsmd,s3,0.0059458
02-memo-poison,rep5,bare,recall,0.011280720000000001
02-memo-poison,rep5,bare,s1,0.00285548
02-memo-poison,rep5,bare,s2,0.0031135600000000005
02-memo-poison,rep5,bare,s3,0.005000200000000001
02-memo-poison,rep5,canon,recall,0.01260572
02-memo-poison,rep5,canon,s1,0.00375844
02-memo-poison,rep5,canon,s2,0.0045676
02-memo-poison,rep5,canon,s3,0.007958960000000001
02-memo-poison,rep5,canondoc,recall,0.00368296
02-memo-poison,rep5,canondoc,s1,0.00338668
02-memo-poison,rep5,canondoc,s2,0.005736880000000001
02-memo-poison,rep5,canondoc,s3,0.0057846799999999995
03-consumer-contract,rep1,agentsmd,recall,0.013654240000000002
03-consumer-contract,rep1,agentsmd,s1,0.00289484
03-consumer-contract,rep1,agentsmd,s2,0.004467120000000001
03-consumer-contract,rep1,agentsmd,s3,0.00528916
