chain,rep,condition,fact,plantOnly,asserted
01-vendor-feed,rep1,canon,cap_50,False,True
01-vendor-feed,rep1,canon,docs_1000,True,True
01-vendor-feed,rep1,canon,silent_truncation,False,True
01-vendor-feed,rep1,canon,sentinel_999,False,True
01-vendor-feed,rep1,canondoc,cap_50,False,True
01-vendor-feed,rep1,canondoc,docs_1000,True,True
01-vendor-feed,rep1,canondoc,silent_truncation,False,True
01-vendor-feed,rep1,canondoc,sentinel_999,False,True
01-vendor-feed,rep1,bare,cap_50,False,True
01-vendor-feed,rep1,bare,docs_1000,True,True
01-vendor-feed,rep1,bare,silent_truncation,False,True
01-vendor-feed,rep1,bare,sentinel_999,False,True
01-vendor-feed,rep1,agentsmd,cap_50,False,True
01-vendor-feed,rep1,agentsmd,docs_1000,True,True
01-vendor-feed,rep1,agentsmd,silent_truncation,False,True
01-vendor-feed,rep1,agentsmd,sentinel_999,False,True
01-vendor-feed,rep2,canon,cap_50,False,True
01-vendor-feed,rep2,canon,docs_1000,True,True
01-vendor-feed,rep2,canon,silent_truncation,False,True
01-vendor-feed,rep2,canon,sentinel_999,False,True
01-vendor-feed,rep2,canondoc,cap_50,False,True
01-vendor-feed,rep2,canondoc,docs_1000,True,True
01-vendor-feed,rep2,canondoc,silent_truncation,False,True
01-vendor-feed,rep2,canondoc,sentinel_999,False,True
01-vendor-feed,rep2,bare,cap_50,False,True
01-vendor-feed,rep2,bare,docs_1000,True,True
01-vendor-feed,rep2,bare,silent_truncation,False,True
01-vendor-feed,rep2,bare,sentinel_999,False,True
01-vendor-feed,rep2,agentsmd,cap_50,False,True
01-vendor-feed,rep2,agentsmd,docs_1000,True,True
01-vendor-feed,rep2,agentsmd,silent_truncation,False,True
01-vendor-feed,rep2,agentsmd,sentinel_999,False,True
01-vendor-feed,rep3,canon,cap_50,False,True
01-vendor-feed,rep3,canon,docs_1000,True,True
01-vendor-feed,rep3,canon,silent_truncation,False,True
01-vendor-feed,rep3,canon,sentinel_999,False,True
01-vendor-feed,rep3,canondoc,cap_50,False,True
01-vendor-feed,rep3,canondoc,docs_1000,True,True
01-vendor-feed,rep3,canondoc,silent_truncation,False,True
01-vendor-feed,rep3,canondoc,sentinel_999,False,True
01-vendor-feed,rep3,bare,cap_50,False,True
01-vendor-feed,rep3,bare,docs_1000,True,True
01-vendor-feed,rep3,bare,silent_truncation,False,True
01-vendor-feed,rep3,bare,sentinel_999,False,True
01-vendor-feed,rep3,agentsmd,cap_50,False,True
01-vendor-feed,rep3,agentsmd,docs_1000,True,True
01-vendor-feed,rep3,agentsmd,silent_truncation,False,True
01-vendor-feed,rep3,agentsmd,sentinel_999,False,True
01-vendor-feed,rep4,canon,cap_50,False,True
01-vendor-feed,rep4,canon,docs_1000,True,True
01-vendor-feed,rep4,canon,silent_truncation,False,True
01-vendor-feed,rep4,canon,sentinel_999,False,True
01-vendor-feed,rep4,canondoc,cap_50,False,True
01-vendor-feed,rep4,canondoc,docs_1000,True,True
01-vendor-feed,rep4,canondoc,silent_truncation,False,True
01-vendor-feed,rep4,canondoc,sentinel_999,False,True
01-vendor-feed,rep4,bare,cap_50,False,True
01-vendor-feed,rep4,bare,docs_1000,True,False
01-vendor-feed,rep4,bare,silent_truncation,False,True
01-vendor-feed,rep4,bare,sentinel_999,False,True
01-vendor-feed,rep4,agentsmd,cap_50,False,True
01-vendor-feed,rep4,agentsmd,docs_1000,True,True
01-vendor-feed,rep4,agentsmd,silent_truncation,False,True
01-vendor-feed,rep4,agentsmd,sentinel_999,False,True
01-vendor-feed,rep5,canon,cap_50,False,True
01-vendor-feed,rep5,canon,docs_1000,True,True
01-vendor-feed,rep5,canon,silent_truncation,False,True
01-vendor-feed,rep5,canon,sentinel_999,False,True
01-vendor-feed,rep5,canondoc,cap_50,False,True
01-vendor-feed,rep5,canondoc,docs_1000,True,True
01-vendor-feed,rep5,canondoc,silent_truncation,False,True
01-vendor-feed,rep5,canondoc,sentinel_999,False,True
01-vendor-feed,rep5,bare,cap_50,False,True
01-vendor-feed,rep5,bare,docs_1000,True,True
01-vendor-feed,rep5,bare,silent_truncation,False,True
01-vendor-feed,rep5,bare,sentinel_999,False,True
01-vendor-feed,rep5,agentsmd,cap_50,False,True
01-vendor-feed,rep5,agentsmd,docs_1000,True,True
01-vendor-feed,rep5,agentsmd,silent_truncation,False,True
01-vendor-feed,rep5,agentsmd,sentinel_999,False,True
02-memo-poison,rep1,canon,no_memo_rule,False,True
02-memo-poison,rep1,canon,rebalancer_mutates,True,True
02-memo-poison,rep1,canon,stale_alias_incident,True,True
02-memo-poison,rep1,canon,sanctioned_batch,False,True
02-memo-poison,rep1,canondoc,no_memo_rule,False,True
02-memo-poison,rep1,canondoc,rebalancer_mutates,True,True
02-memo-poison,rep1,canondoc,stale_alias_incident,True,True
02-memo-poison,rep1,canondoc,sanctioned_batch,False,True
02-memo-poison,rep1,bare,no_memo_rule,False,True
02-memo-poison,rep1,bare,rebalancer_mutates,True,True
02-memo-poison,rep1,bare,stale_alias_incident,True,True
02-memo-poison,rep1,bare,sanctioned_batch,False,True
02-memo-poison,rep1,agentsmd,no_memo_rule,False,True
02-memo-poison,rep1,agentsmd,rebalancer_mutates,True,True
02-memo-poison,rep1,agentsmd,stale_alias_incident,True,True
02-memo-poison,rep1,agentsmd,sanctioned_batch,False,True
02-memo-poison,rep2,canon,no_memo_rule,False,True
02-memo-poison,rep2,canon,rebalancer_mutates,True,True
02-memo-poison,rep2,canon,stale_alias_incident,True,True
02-memo-poison,rep2,canon,sanctioned_batch,False,True
02-memo-poison,rep2,canondoc,no_memo_rule,False,True
02-memo-poison,rep2,canondoc,rebalancer_mutates,True,True
02-memo-poison,rep2,canondoc,stale_alias_incident,True,True
02-memo-poison,rep2,canondoc,sanctioned_batch,False,True
02-memo-poison,rep2,bare,no_memo_rule,False,True
02-memo-poison,rep2,bare,rebalancer_mutates,True,True
02-memo-poison,rep2,bare,stale_alias_incident,True,True
02-memo-poison,rep2,bare,sanctioned_batch,False,True
02-memo-poison,rep2,agentsmd,no_memo_rule,False,True
02-memo-poison,rep2,agentsmd,rebalancer_mutates,True,True
02-memo-poison,rep2,agentsmd,stale_alias_incident,True,True
02-memo-poison,rep2,agentsmd,sanctioned_batch,False,True
02-memo-poison,rep3,canon,no_memo_rule,False,True
02-memo-poison,rep3,canon,rebalancer_mutates,True,True
02-memo-poison,rep3,canon,stale_alias_incident,True,True
02-memo-poison,rep3,canon,sanctioned_batch,False,True
02-memo-poison,rep3,canondoc,no_memo_rule,False,True
02-memo-poison,rep3,canondoc,rebalancer_mutates,True,True
02-memo-poison,rep3,canondoc,stale_alias_incident,True,False
02-memo-poison,rep3,canondoc,sanctioned_batch,False,True
02-memo-poison,rep3,bare,no_memo_rule,False,True
02-memo-poison,rep3,bare,rebalancer_mutates,True,True
02-memo-poison,rep3,bare,stale_alias_incident,True,True
02-memo-poison,rep3,bare,sanctioned_batch,False,True
02-memo-poison,rep3,agentsmd,no_memo_rule,False,True
02-memo-poison,rep3,agentsmd,rebalancer_mutates,True,True
02-memo-poison,rep3,agentsmd,stale_alias_incident,True,True
02-memo-poison,rep3,agentsmd,sanctioned_batch,False,True
02-memo-poison,rep4,canon,no_memo_rule,False,True
02-memo-poison,rep4,canon,rebalancer_mutates,True,True
02-memo-poison,rep4,canon,stale_alias_incident,True,True
02-memo-poison,rep4,canon,sanctioned_batch,False,True
02-memo-poison,rep4,canondoc,no_memo_rule,False,True
02-memo-poison,rep4,canondoc,rebalancer_mutates,True,True
02-memo-poison,rep4,canondoc,stale_alias_incident,True,True
02-memo-poison,rep4,canondoc,sanctioned_batch,False,True
02-memo-poison,rep4,bare,no_memo_rule,False,True
02-memo-poison,rep4,bare,rebalancer_mutates,True,True
02-memo-poison,rep4,bare,stale_alias_incident,True,True
02-memo-poison,rep4,bare,sanctioned_batch,False,True
02-memo-poison,rep4,agentsmd,no_memo_rule,False,True
02-memo-poison,rep4,agentsmd,rebalancer_mutates,True,True
02-memo-poison,rep4,agentsmd,stale_alias_incident,True,True
02-memo-poison,rep4,agentsmd,sanctioned_batch,False,True
02-memo-poison,rep5,canon,no_memo_rule,False,True
02-memo-poison,rep5,canon,rebalancer_mutates,True,True
02-memo-poison,rep5,canon,stale_alias_incident,True,True
02-memo-poison,rep5,canon,sanctioned_batch,False,True
02-memo-poison,rep5,canondoc,no_memo_rule,False,True
02-memo-poison,rep5,canondoc,rebalancer_mutates,True,True
02-memo-poison,rep5,canondoc,stale_alias_incident,True,True
02-memo-poison,rep5,canondoc,sanctioned_batch,False,True
02-memo-poison,rep5,bare,no_memo_rule,False,True
02-memo-poison,rep5,bare,rebalancer_mutates,True,True
02-memo-poison,rep5,bare,stale_alias_incident,True,True
02-memo-poison,rep5,bare,sanctioned_batch,False,True
02-memo-poison,rep5,agentsmd,no_memo_rule,False,True
02-memo-poison,rep5,agentsmd,rebalancer_mutates,True,True
02-memo-poison,rep5,agentsmd,stale_alias_incident,True,True
02-memo-poison,rep5,agentsmd,sanctioned_batch,False,True
03-consumer-contract,rep1,canon,consumer_repo_fin_ledger_intake,True,True
03-consumer-contract,rep1,canon,amounts_integer_cents,False,True
03-consumer-contract,rep1,canon,no_commas_or_dollar_signs,False,True
03-consumer-contract,rep1,canon,violation_dropped_silently,True,True
03-consumer-contract,rep1,canon,dollars_display_only,False,True
03-consumer-contract,rep1,canondoc,consumer_repo_fin_ledger_intake,True,True
03-consumer-contract,rep1,canondoc,amounts_integer_cents,False,True
03-consumer-contract,rep1,canondoc,no_commas_or_dollar_signs,False,True
03-consumer-contract,rep1,canondoc,violation_dropped_silently,True,True
03-consumer-contract,rep1,canondoc,dollars_display_only,False,True
03-consumer-contract,rep1,bare,consumer_repo_fin_ledger_intake,True,True
03-consumer-contract,rep1,bare,amounts_integer_cents,False,True
03-consumer-contract,rep1,bare,no_commas_or_dollar_signs,False,True
03-consumer-contract,rep1,bare,violation_dropped_silently,True,True
03-consumer-contract,rep1,bare,dollars_display_only,False,True
03-consumer-contract,rep1,agentsmd,consumer_repo_fin_ledger_intake,True,True
03-consumer-contract,rep1,agentsmd,amounts_integer_cents,False,False
03-consumer-contract,rep1,agentsmd,no_commas_or_dollar_signs,False,True
03-consumer-contract,rep1,agentsmd,violation_dropped_silently,True,True
03-consumer-contract,rep1,agentsmd,dollars_display_only,False,False
03-consumer-contract,rep2,canon,consumer_repo_fin_ledger_intake,True,True
03-consumer-contract,rep2,canon,amounts_integer_cents,False,True
03-consumer-contract,rep2,canon,no_commas_or_dollar_signs,False,True
03-consumer-contract,rep2,canon,violation_dropped_silently,True,False
03-consumer-contract,rep2,canon,dollars_display_only,False,True
03-consumer-contract,rep2,canondoc,consumer_repo_fin_ledger_intake,True,True
03-consumer-contract,rep2,canondoc,amounts_integer_cents,False,False
03-consumer-contract,rep2,canondoc,no_commas_or_dollar_signs,False,True
03-consumer-contract,rep2,canondoc,violation_dropped_silently,True,False
03-consumer-contract,rep2,canondoc,dollars_display_only,False,False
03-consumer-contract,rep2,bare,consumer_repo_fin_ledger_intake,True,False
03-consumer-contract,rep2,bare,amounts_integer_cents,False,False
03-consumer-contract,rep2,bare,no_commas_or_dollar_signs,False,False
03-consumer-contract,rep2,bare,violation_dropped_silently,True,False
03-consumer-contract,rep2,bare,dollars_display_only,False,False
03-consumer-contract,rep2,agentsmd,consumer_repo_fin_ledger_intake,True,True
03-consumer-contract,rep2,agentsmd,amounts_integer_cents,False,True
03-consumer-contract,rep2,agentsmd,no_commas_or_dollar_signs,False,True
03-consumer-contract,rep2,agentsmd,violation_dropped_silently,True,True
03-consumer-contract,rep2,agentsmd,dollars_display_only,False,True
03-consumer-contract,rep3,canon,consumer_repo_fin_ledger_intake,True,True
03-consumer-contract,rep3,canon,amounts_integer_cents,False,True
03-consumer-contract,rep3,canon,no_commas_or_dollar_signs,False,True
03-consumer-contract,rep3,canon,violation_dropped_silently,True,True
03-consumer-contract,rep3,canon,dollars_display_only,False,True
03-consumer-contract,rep3,canondoc,consumer_repo_fin_ledger_intake,True,True
03-consumer-contract,rep3,canondoc,amounts_integer_cents,False,True
03-consumer-contract,rep3,canondoc,no_commas_or_dollar_signs,False,True
03-consumer-contract,rep3,canondoc,violation_dropped_silently,True,False
03-consumer-contract,rep3,canondoc,dollars_display_only,False,True
03-consumer-contract,rep3,bare,consumer_repo_fin_ledger_intake,True,True
03-consumer-contract,rep3,bare,amounts_integer_cents,False,True
03-consumer-contract,rep3,bare,no_commas_or_dollar_signs,False,True
03-consumer-contract,rep3,bare,violation_dropped_silently,True,True
03-consumer-contract,rep3,bare,dollars_display_only,False,True
03-consumer-contract,rep3,agentsmd,consumer_repo_fin_ledger_intake,True,True
03-consumer-contract,rep3,agentsmd,amounts_integer_cents,False,True
03-consumer-contract,rep3,agentsmd,no_commas_or_dollar_signs,False,True
03-consumer-contract,rep3,agentsmd,violation_dropped_silently,True,False
03-consumer-contract,rep3,agentsmd,dollars_display_only,False,True
03-consumer-contract,rep4,canon,consumer_repo_fin_ledger_intake,True,True
03-consumer-contract,rep4,canon,amounts_integer_cents,False,True
03-consumer-contract,rep4,canon,no_commas_or_dollar_signs,False,True
03-consumer-contract,rep4,canon,violation_dropped_silently,True,True
03-consumer-contract,rep4,canon,dollars_display_only,False,True
03-consumer-contract,rep4,canondoc,consumer_repo_fin_ledger_intake,True,True
03-consumer-contract,rep4,canondoc,amounts_integer_cents,False,True
03-consumer-contract,rep4,canondoc,no_commas_or_dollar_signs,False,True
03-consumer-contract,rep4,canondoc,violation_dropped_silently,True,True
03-consumer-contract,rep4,canondoc,dollars_display_only,False,True
03-consumer-contract,rep4,bare,consumer_repo_fin_ledger_intake,True,True
03-consumer-contract,rep4,bare,amounts_integer_cents,False,True
03-consumer-contract,rep4,bare,no_commas_or_dollar_signs,False,True
03-consumer-contract,rep4,bare,violation_dropped_silently,True,True
03-consumer-contract,rep4,bare,dollars_display_only,False,True
03-consumer-contract,rep4,agentsmd,consumer_repo_fin_ledger_intake,True,True
