chain,rep,condition,session,tokens,output,cost,wallSeconds,toolCalls
01-vendor-feed,rep1,canon,s1,21205,1026,0.00283,29.1,10
01-vendor-feed,rep1,canon,s2,18345,1051,0.00315,32.4,11
01-vendor-feed,rep1,canon,s3,39529,1748,0.00611,43.0,15
01-vendor-feed,rep1,canon,recall,7665,201,0.00144,10.6,3
01-vendor-feed,rep1,canondoc,s1,22841,1777,0.00365,37.6,12
01-vendor-feed,rep1,canondoc,s2,20917,1093,0.00357,30.4,11
01-vendor-feed,rep1,canondoc,s3,18617,1377,0.00372,34.6,12
01-vendor-feed,rep1,canondoc,recall,76956,672,0.01488,18.5,9
01-vendor-feed,rep1,bare,s1,16296,1183,0.00318,27.7,8
01-vendor-feed,rep1,bare,s2,8713,592,0.00196,17.8,8
01-vendor-feed,rep1,bare,s3,10993,666,0.00194,20.5,8
01-vendor-feed,rep1,bare,recall,27237,282,0.00572,12.3,4
01-vendor-feed,rep1,agentsmd,s1,36471,1515,0.00414,31.6,12
01-vendor-feed,rep1,agentsmd,s2,59444,1365,0.00481,35.3,16
01-vendor-feed,rep1,agentsmd,s3,40271,1623,0.00487,35.8,13
01-vendor-feed,rep1,agentsmd,recall,61035,379,0.01226,12.3,7
01-vendor-feed,rep2,canon,s1,19416,995,0.00329,27.1,11
01-vendor-feed,rep2,canon,s2,17714,1167,0.00322,28.1,10
01-vendor-feed,rep2,canon,s3,37877,1999,0.00596,49.6,16
01-vendor-feed,rep2,canon,recall,5299,162,0.00092,9.5,2
01-vendor-feed,rep2,canondoc,s1,26266,1659,0.00456,40.0,8
01-vendor-feed,rep2,canondoc,s2,23804,1265,0.00379,34.3,10
01-vendor-feed,rep2,canondoc,s3,24806,1418,0.00385,35.1,12
01-vendor-feed,rep2,canondoc,recall,5701,207,0.00102,9.4,2
01-vendor-feed,rep2,bare,s1,13549,894,0.00243,19.8,8
01-vendor-feed,rep2,bare,s2,8575,504,0.00187,15.5,6
01-vendor-feed,rep2,bare,s3,12062,832,0.00251,21.6,9
01-vendor-feed,rep2,bare,recall,74575,401,0.01085,16.3,5
01-vendor-feed,rep2,agentsmd,s1,34433,1674,0.00505,34.3,12
01-vendor-feed,rep2,agentsmd,s2,26352,867,0.00379,24.3,11
01-vendor-feed,rep2,agentsmd,s3,37652,1418,0.00479,31.2,12
01-vendor-feed,rep2,agentsmd,recall,27307,585,0.00559,15.8,3
01-vendor-feed,rep3,canon,s1,23177,1656,0.00418,38.7,12
01-vendor-feed,rep3,canon,s2,17509,985,0.003,26.7,10
01-vendor-feed,rep3,canon,s3,29744,1535,0.0041,34.3,14
01-vendor-feed,rep3,canon,recall,67369,458,0.01332,17.7,9
01-vendor-feed,rep3,canondoc,s1,27214,1590,0.0041,34.2,11
01-vendor-feed,rep3,canondoc,s2,24185,1071,0.00353,31.9,11
01-vendor-feed,rep3,canondoc,s3,26881,1259,0.0039,45.0,12
01-vendor-feed,rep3,canondoc,recall,5885,221,0.00109,11.6,3
01-vendor-feed,rep3,bare,s1,16972,1711,0.00372,32.0,10
01-vendor-feed,rep3,bare,s2,9010,552,0.00174,17.0,8
01-vendor-feed,rep3,bare,s3,14158,1504,0.00353,28.4,10
01-vendor-feed,rep3,bare,recall,110251,513,0.01818,17.1,9
01-vendor-feed,rep3,agentsmd,s1,35098,1079,0.00392,25.0,12
01-vendor-feed,rep3,agentsmd,s2,26232,851,0.00374,25.0,11
01-vendor-feed,rep3,agentsmd,s3,39284,1450,0.00429,35.3,12
01-vendor-feed,rep3,agentsmd,recall,67907,471,0.01241,17.2,7
01-vendor-feed,rep4,canon,s1,22098,1526,0.00384,34.8,10
01-vendor-feed,rep4,canon,s2,16918,1087,0.00277,37.1,10
01-vendor-feed,rep4,canon,s3,25407,1437,0.00387,36.0,11
01-vendor-feed,rep4,canon,recall,10311,431,0.00158,15.8,5
01-vendor-feed,rep4,canondoc,s1,26706,1842,0.00389,44.3,13
01-vendor-feed,rep4,canondoc,s2,25154,1196,0.00396,32.9,11
01-vendor-feed,rep4,canondoc,s3,21163,1509,0.00361,30.0,12
01-vendor-feed,rep4,canondoc,recall,5793,217,0.00107,10.0,3
01-vendor-feed,rep4,bare,s1,17461,1425,0.00289,26.4,7
01-vendor-feed,rep4,bare,s2,9657,534,0.00182,16.2,6
01-vendor-feed,rep4,bare,s3,24124,1472,0.00331,29.6,11
01-vendor-feed,rep4,bare,recall,23293,661,0.00509,14.4,3
01-vendor-feed,rep4,agentsmd,s1,32890,1574,0.00386,32.4,12
01-vendor-feed,rep4,agentsmd,s2,40160,1019,0.00455,31.4,13
01-vendor-feed,rep4,agentsmd,s3,39385,1856,0.00527,35.8,12
01-vendor-feed,rep4,agentsmd,recall,64735,673,0.01195,15.7,8
01-vendor-feed,rep5,canon,s1,21160,1062,0.00314,24.6,13
01-vendor-feed,rep5,canon,s2,20201,1244,0.00331,27.7,11
01-vendor-feed,rep5,canon,s3,28163,1103,0.00366,31.9,14
01-vendor-feed,rep5,canon,recall,10064,316,0.00144,12.2,4
01-vendor-feed,rep5,canondoc,s1,22482,1500,0.00334,29.8,12
01-vendor-feed,rep5,canondoc,s2,36275,1214,0.00461,31.8,12
01-vendor-feed,rep5,canondoc,s3,34199,1717,0.00526,40.2,15
01-vendor-feed,rep5,canondoc,recall,31601,446,0.00617,15.7,7
01-vendor-feed,rep5,bare,s1,12704,1090,0.00235,22.5,8
01-vendor-feed,rep5,bare,s2,8434,583,0.00217,21.0,7
01-vendor-feed,rep5,bare,s3,12151,713,0.0022,30.4,9
01-vendor-feed,rep5,bare,recall,65452,377,0.01317,14.5,8
01-vendor-feed,rep5,agentsmd,s1,34693,1797,0.00434,33.6,12
01-vendor-feed,rep5,agentsmd,s2,24928,873,0.00289,22.2,11
01-vendor-feed,rep5,agentsmd,s3,30574,2041,0.00386,34.3,12
01-vendor-feed,rep5,agentsmd,recall,69925,563,0.00954,16.6,6
02-memo-poison,rep1,canon,s1,31718,1614,0.0046,35.6,12
02-memo-poison,rep1,canon,s2,39583,1911,0.00571,40.9,15
02-memo-poison,rep1,canon,s3,63327,2677,0.00769,56.0,20
02-memo-poison,rep1,canon,recall,29757,452,0.00535,15.1,8
02-memo-poison,rep1,canondoc,s1,26301,1530,0.00332,33.2,7
02-memo-poison,rep1,canondoc,s2,42707,1946,0.0061,44.7,15
02-memo-poison,rep1,canondoc,s3,89081,2809,0.008,63.0,22
02-memo-poison,rep1,canondoc,recall,12222,532,0.00184,18.5,6
02-memo-poison,rep1,bare,s1,16324,953,0.00332,23.2,7
02-memo-poison,rep1,bare,s2,27333,1536,0.00371,37.2,13
02-memo-poison,rep1,bare,s3,56705,2210,0.00751,50.5,15
02-memo-poison,rep1,bare,recall,59819,608,0.012,17.4,11
02-memo-poison,rep1,agentsmd,s1,50354,1540,0.00657,33.8,13
02-memo-poison,rep1,agentsmd,s2,46427,1265,0.00543,32.8,13
02-memo-poison,rep1,agentsmd,s3,61213,1527,0.00619,37.8,14
02-memo-poison,rep1,agentsmd,recall,57345,587,0.01118,16.1,8
02-memo-poison,rep2,canon,s1,23913,1885,0.00463,40.3,10
02-memo-poison,rep2,canon,s2,40571,2035,0.00508,45.3,16
02-memo-poison,rep2,canon,s3,46350,2334,0.00751,49.1,14
02-memo-poison,rep2,canon,recall,60656,524,0.01231,16.2,9
02-memo-poison,rep2,canondoc,s1,36270,1619,0.00427,36.5,10
02-memo-poison,rep2,canondoc,s2,40078,1845,0.00524,48.6,14
02-memo-poison,rep2,canondoc,s3,51470,2339,0.00541,54.6,16
02-memo-poison,rep2,canondoc,recall,12326,553,0.00193,20.3,7
02-memo-poison,rep2,bare,s1,13768,1133,0.00307,28.1,5
02-memo-poison,rep2,bare,s2,25699,1285,0.00379,30.9,10
02-memo-poison,rep2,bare,s3,50666,1587,0.00568,41.2,13
02-memo-poison,rep2,bare,recall,58450,553,0.01214,16.2,11
02-memo-poison,rep2,agentsmd,s1,35065,1173,0.00349,26.8,8
02-memo-poison,rep2,agentsmd,s2,46795,1361,0.00435,33.2,14
02-memo-poison,rep2,agentsmd,s3,71608,1757,0.00589,41.5,15
02-memo-poison,rep2,agentsmd,recall,94064,671,0.01414,18.0,10
02-memo-poison,rep3,canon,s1,31699,1741,0.00412,38.0,12
02-memo-poison,rep3,canon,s2,39941,1795,0.00562,40.9,14
02-memo-poison,rep3,canon,s3,61835,2099,0.00705,46.6,16
02-memo-poison,rep3,canon,recall,60493,509,0.01179,16.8,7
02-memo-poison,rep3,canondoc,s1,30451,1596,0.0039,35.9,9
02-memo-poison,rep3,canondoc,s2,35369,2051,0.00513,46.8,14
02-memo-poison,rep3,canondoc,s3,54773,2203,0.00748,60.3,15
02-memo-poison,rep3,canondoc,recall,123324,1035,0.01185,29.9,8
02-memo-poison,rep3,bare,s1,16378,995,0.00309,23.5,7
02-memo-poison,rep3,bare,s2,23763,1335,0.00395,29.8,11
02-memo-poison,rep3,bare,s3,45207,2128,0.0061,45.2,11
02-memo-poison,rep3,bare,recall,160778,667,0.01412,24.8,9
02-memo-poison,rep3,agentsmd,s1,32835,1258,0.00408,27.5,9
02-memo-poison,rep3,agentsmd,s2,47500,1435,0.00455,33.9,14
02-memo-poison,rep3,agentsmd,s3,74819,2214,0.00785,46.5,19
02-memo-poison,rep3,agentsmd,recall,57148,552,0.01113,17.1,8
02-memo-poison,rep4,canon,s1,29331,1971,0.00421,39.9,11
02-memo-poison,rep4,canon,s2,32494,1925,0.0045,40.9,15
02-memo-poison,rep4,canon,s3,55671,2257,0.00735,50.6,13
02-memo-poison,rep4,canon,recall,12130,541,0.00228,14.6,6
02-memo-poison,rep4,canondoc,s1,28947,1846,0.0046,41.9,12
02-memo-poison,rep4,canondoc,s2,39204,1934,0.00489,48.3,14
02-memo-poison,rep4,canondoc,s3,56172,2288,0.0068,47.3,17
02-memo-poison,rep4,canondoc,recall,24301,890,0.00306,24.0,7
02-memo-poison,rep4,bare,s1,15320,949,0.00243,22.9,7
02-memo-poison,rep4,bare,s2,24892,1396,0.00489,32.3,12
02-memo-poison,rep4,bare,s3,45922,1547,0.00555,38.0,12
02-memo-poison,rep4,bare,recall,27527,460,0.00592,14.3,8
02-memo-poison,rep4,agentsmd,s1,33684,1136,0.00372,25.8,9
02-memo-poison,rep4,agentsmd,s2,38676,1487,0.00445,32.7,13
02-memo-poison,rep4,agentsmd,s3,98897,2002,0.00705,56.4,16
02-memo-poison,rep4,agentsmd,recall,30258,474,0.00527,14.9,6
02-memo-poison,rep5,canon,s1,23881,1682,0.00376,37.5,11
02-memo-poison,rep5,canon,s2,37824,1912,0.00457,40.3,14
02-memo-poison,rep5,canon,s3,71954,2596,0.00796,54.7,14
02-memo-poison,rep5,canon,recall,64475,508,0.01261,15.4,9
02-memo-poison,rep5,canondoc,s1,22582,1583,0.00339,32.7,9
02-memo-poison,rep5,canondoc,s2,44407,1967,0.00574,44.6,14
02-memo-poison,rep5,canondoc,s3,61142,2317,0.00578,52.2,18
02-memo-poison,rep5,canondoc,recall,28890,736,0.00368,19.1,9
02-memo-poison,rep5,bare,s1,15288,1181,0.00286,28.1,7
02-memo-poison,rep5,bare,s2,21612,1231,0.00311,26.8,11
02-memo-poison,rep5,bare,s3,47444,1869,0.005,38.6,12
02-memo-poison,rep5,bare,recall,57732,534,0.01128,14.9,12
02-memo-poison,rep5,agentsmd,s1,48433,1145,0.00425,29.4,13
02-memo-poison,rep5,agentsmd,s2,81171,1646,0.00611,41.4,16
02-memo-poison,rep5,agentsmd,s3,65846,1761,0.00595,40.9,14
02-memo-poison,rep5,agentsmd,recall,29211,437,0.00568,13.0,6
03-consumer-contract,rep1,canon,s1,29670,1316,0.0036,32.9,12
03-consumer-contract,rep1,canon,s2,27816,1463,0.00474,35.3,12
03-consumer-contract,rep1,canon,s3,46779,2625,0.00682,53.9,19
03-consumer-contract,rep1,canon,recall,14041,946,0.00245,19.7,10
03-consumer-contract,rep1,canondoc,s1,26993,1109,0.00337,31.4,12
03-consumer-contract,rep1,canondoc,s2,34132,1353,0.00441,31.4,10
03-consumer-contract,rep1,canondoc,s3,31212,1415,0.00479,36.3,14
03-consumer-contract,rep1,canondoc,recall,14518,932,0.00254,23.6,8
03-consumer-contract,rep1,bare,s1,12269,530,0.00238,17.1,6
03-consumer-contract,rep1,bare,s2,15481,794,0.00252,21.5,7
03-consumer-contract,rep1,bare,s3,27123,1034,0.00381,26.7,13
03-consumer-contract,rep1,bare,recall,25900,884,0.00554,19.5,9
03-consumer-contract,rep1,agentsmd,s1,30728,649,0.00289,18.7,9
03-consumer-contract,rep1,agentsmd,s2,37698,1080,0.00447,26.1,14
03-consumer-contract,rep1,agentsmd,s3,60580,1805,0.00529,38.6,14
03-consumer-contract,rep1,agentsmd,recall,71505,1153,0.01365,23.0,13
03-consumer-contract,rep2,canon,s1,22483,1188,0.00416,27.8,12
03-consumer-contract,rep2,canon,s2,33888,1378,0.00465,37.8,8
03-consumer-contract,rep2,canon,s3,34628,1854,0.00545,42.4,15
03-consumer-contract,rep2,canon,recall,19374,832,0.00266,21.4,10
03-consumer-contract,rep2,canondoc,s1,20961,1118,0.00326,28.8,11
03-consumer-contract,rep2,canondoc,s2,34775,1600,0.00491,37.3,11
03-consumer-contract,rep2,canondoc,s3,46398,2175,0.00559,48.0,16
03-consumer-contract,rep2,canondoc,recall,20577,967,0.00309,24.1,8
03-consumer-contract,rep2,bare,s1,28815,834,0.00372,21.9,8
03-consumer-contract,rep2,bare,s2,12382,810,0.00311,20.9,7
03-consumer-contract,rep2,bare,s3,26777,1447,0.00441,32.7,14
03-consumer-contract,rep2,bare,recall,57716,1188,0.00787,30.1,15
03-consumer-contract,rep2,agentsmd,s1,41053,977,0.0038,24.1,13
03-consumer-contract,rep2,agentsmd,s2,34992,1356,0.00511,29.4,12
03-consumer-contract,rep2,agentsmd,s3,51666,1795,0.00588,34.7,15
03-consumer-contract,rep2,agentsmd,recall,69827,917,0.01303,20.8,12
03-consumer-contract,rep3,canon,s1,23963,1137,0.00356,25.9,9
03-consumer-contract,rep3,canon,s2,33449,1679,0.00404,36.0,13
03-consumer-contract,rep3,canon,s3,49844,2701,0.0065,56.5,16
03-consumer-contract,rep3,canon,recall,12809,647,0.00209,17.5,8
03-consumer-contract,rep3,canondoc,s1,25225,1446,0.0032,30.8,12
03-consumer-contract,rep3,canondoc,s2,29325,1543,0.00428,35.1,14
03-consumer-contract,rep3,canondoc,s3,42092,1678,0.00537,38.6,15
03-consumer-contract,rep3,canondoc,recall,6737,565,0.00147,15.5,3
03-consumer-contract,rep3,bare,s1,15083,508,0.00203,18.7,8
03-consumer-contract,rep3,bare,s2,13685,942,0.00297,21.9,9
03-consumer-contract,rep3,bare,s3,36391,1081,0.00366,27.9,12
03-consumer-contract,rep3,bare,recall,65450,999,0.01359,22.9,14
03-consumer-contract,rep3,agentsmd,s1,40104,889,0.00476,23.2,12
03-consumer-contract,rep3,agentsmd,s2,51533,1297,0.00473,32.4,14
03-consumer-contract,rep3,agentsmd,s3,34308,1412,0.00405,30.9,11
03-consumer-contract,rep3,agentsmd,recall,34977,900,0.00621,21.7,10
03-consumer-contract,rep4,canon,s1,29603,1284,0.00425,30.1,11
03-consumer-contract,rep4,canon,s2,34131,1465,0.00442,35.3,14
03-consumer-contract,rep4,canon,s3,35558,2128,0.00611,50.6,15
03-consumer-contract,rep4,canon,recall,13670,992,0.00257,20.9,14
03-consumer-contract,rep4,canondoc,s1,23850,1098,0.00367,27.6,12
03-consumer-contract,rep4,canondoc,s2,32656,1406,0.00456,31.7,10
03-consumer-contract,rep4,canondoc,s3,34985,2031,0.00488,42.0,18
03-consumer-contract,rep4,canondoc,recall,13730,617,0.00199,18.0,8
03-consumer-contract,rep4,bare,s1,20437,885,0.00277,23.2,10
03-consumer-contract,rep4,bare,s2,16213,798,0.00234,19.0,9
03-consumer-contract,rep4,bare,s3,26335,1059,0.00326,24.0,9
03-consumer-contract,rep4,bare,recall,105168,1160,0.01742,24.5,17
03-consumer-contract,rep4,agentsmd,s1,38751,813,0.00361,23.4,12
03-consumer-contract,rep4,agentsmd,s2,33666,1087,0.00387,25.5,14
03-consumer-contract,rep4,agentsmd,s3,47955,1562,0.00461,35.2,13
03-consumer-contract,rep4,agentsmd,recall,37131,844,0.00634,19.0,10
03-consumer-contract,rep5,canon,s1,28370,1187,0.00425,30.5,13
03-consumer-contract,rep5,canon,s2,28064,1310,0.00427,31.1,9
03-consumer-contract,rep5,canon,s3,27570,1903,0.00481,38.2,15
03-consumer-contract,rep5,canon,recall,15229,795,0.00308,20.2,5
03-consumer-contract,rep5,canondoc,s1,31218,1536,0.00359,34.6,14
03-consumer-contract,rep5,canondoc,s2,39552,1702,0.005,44.9,14
03-consumer-contract,rep5,canondoc,s3,45209,2124,0.00541,47.1,16
03-consumer-contract,rep5,canondoc,recall,8503,718,0.00159,16.6,3
03-consumer-contract,rep5,bare,s1,31921,605,0.00375,26.0,9
03-consumer-contract,rep5,bare,s2,11868,692,0.00219,18.7,6
03-consumer-contract,rep5,bare,s3,40975,1362,0.00432,33.8,14
03-consumer-contract,rep5,bare,recall,58290,1093,0.00706,24.2,11
03-consumer-contract,rep5,agentsmd,s1,41019,823,0.00371,26.0,12
03-consumer-contract,rep5,agentsmd,s2,53493,1262,0.00598,31.2,16
03-consumer-contract,rep5,agentsmd,s3,43193,1397,0.00371,30.2,11
03-consumer-contract,rep5,agentsmd,recall,21944,686,0.00287,18.4,11
04-tz-convention,rep1,canon,s1,28069,1526,0.00448,33.1,13
04-tz-convention,rep1,canon,s2,23839,1285,0.00346,34.7,10
04-tz-convention,rep1,canon,s3,80839,2245,0.0104,45.1,11
04-tz-convention,rep1,canon,recall,13803,828,0.00248,18.9,11
04-tz-convention,rep1,canondoc,s1,31925,1532,0.0038,30.2,12
04-tz-convention,rep1,canondoc,s2,26640,1107,0.00357,27.6,9
04-tz-convention,rep1,canondoc,s3,140196,2760,0.0095,54.8,16
04-tz-convention,rep1,canondoc,recall,70882,637,0.00977,20.9,10
04-tz-convention,rep1,bare,s1,64549,695,0.00805,21.5,9
04-tz-convention,rep1,bare,s2,14784,912,0.00274,22.8,6
04-tz-convention,rep1,bare,s3,36715,1171,0.00426,24.3,5
04-tz-convention,rep1,bare,recall,27915,579,0.00574,15.4,8
04-tz-convention,rep1,agentsmd,s1,44178,880,0.00501,23.8,13
04-tz-convention,rep1,agentsmd,s2,37836,922,0.0046,24.8,9
04-tz-convention,rep1,agentsmd,s3,43782,1398,0.00565,28.7,8
04-tz-convention,rep1,agentsmd,recall,50590,623,0.00965,15.5,7
04-tz-convention,rep2,canon,s1,40399,1743,0.00444,36.0,14
04-tz-convention,rep2,canon,s2,28460,2215,0.00411,48.5,11
04-tz-convention,rep2,canon,s3,101757,2521,0.01038,50.4,14
04-tz-convention,rep2,canon,recall,13887,724,0.00229,18.4,9
04-tz-convention,rep2,canondoc,s1,36605,1790,0.00522,36.0,15
04-tz-convention,rep2,canondoc,s2,23268,1491,0.0038,33.8,9
04-tz-convention,rep2,canondoc,s3,77848,1940,0.00652,39.4,12
04-tz-convention,rep2,canondoc,recall,13542,586,0.00188,16.6,7
04-tz-convention,rep2,bare,s1,22158,730,0.00317,17.2,7
04-tz-convention,rep2,bare,s2,14612,832,0.00223,22.4,6
04-tz-convention,rep2,bare,s3,17862,1144,0.00259,26.8,6
04-tz-convention,rep2,bare,recall,57882,606,0.01205,16.1,9
04-tz-convention,rep2,agentsmd,s1,43325,1343,0.00411,29.2,9
04-tz-convention,rep2,agentsmd,s2,71216,1857,0.00833,50.6,14
04-tz-convention,rep2,agentsmd,s3,61728,2119,0.00547,49.5,13
04-tz-convention,rep2,agentsmd,recall,71190,738,0.00815,28.4,12
04-tz-convention,rep3,canon,s1,28464,1315,0.00359,28.2,12
04-tz-convention,rep3,canon,s2,23506,1403,0.0043,31.4,9
04-tz-convention,rep3,canon,s3,38530,2378,0.0052,48.9,13
04-tz-convention,rep3,canon,recall,147660,1224,0.01228,27.2,13
04-tz-convention,rep3,canondoc,s1,32257,1495,0.0037,33.9,11
04-tz-convention,rep3,canondoc,s2,23659,1461,0.00347,37.8,9
04-tz-convention,rep3,canondoc,s3,96124,2548,0.00804,57.8,13
04-tz-convention,rep3,canondoc,recall,11640,534,0.00175,16.1,8
04-tz-convention,rep3,bare,s1,18592,640,0.00241,17.2,9
04-tz-convention,rep3,bare,s2,14787,909,0.00229,25.4,6
04-tz-convention,rep3,bare,s3,60745,1529,0.00577,30.9,7
04-tz-convention,rep3,bare,recall,86801,986,0.01241,23.0,11
04-tz-convention,rep3,agentsmd,s1,34900,697,0.00385,24.9,11
04-tz-convention,rep3,agentsmd,s2,40045,1083,0.00429,42.0,9
04-tz-convention,rep3,agentsmd,s3,59889,2020,0.00552,41.6,10
04-tz-convention,rep3,agentsmd,recall,115938,732,0.0124,21.9,9
04-tz-convention,rep4,canon,s1,42883,1698,0.00566,39.1,16
04-tz-convention,rep4,canon,s2,23712,1542,0.00353,30.5,9
04-tz-convention,rep4,canon,s3,38631,1894,0.00521,40.6,13
04-tz-convention,rep4,canon,recall,22883,528,0.00405,15.8,10
04-tz-convention,rep4,canondoc,s1,33399,1530,0.00404,34.9,13
04-tz-convention,rep4,canondoc,s2,31016,1424,0.00402,31.9,8
04-tz-convention,rep4,canondoc,s3,76264,1463,0.00636,32.5,11
04-tz-convention,rep4,canondoc,recall,30967,778,0.00545,17.7,6
04-tz-convention,rep4,bare,s1,29200,1237,0.00355,24.2,10
04-tz-convention,rep4,bare,s2,14578,817,0.0022,19.8,6
04-tz-convention,rep4,bare,s3,30051,2022,0.00417,35.5,8
04-tz-convention,rep4,bare,recall,62257,733,0.01227,17.8,9
04-tz-convention,rep4,agentsmd,s1,45564,1119,0.00404,24.8,12
04-tz-convention,rep4,agentsmd,s2,45856,1163,0.00432,29.3,9
04-tz-convention,rep4,agentsmd,s3,107637,2009,0.00779,40.3,12
04-tz-convention,rep4,agentsmd,recall,69880,654,0.01446,18.2,8
04-tz-convention,rep5,canon,s1,89609,1797,0.00733,36.2,17
04-tz-convention,rep5,canon,s2,28421,1524,0.00513,33.2,10
04-tz-convention,rep5,canon,s3,60239,3068,0.00677,58.5,14
04-tz-convention,rep5,canon,recall,64417,752,0.0129,18.4,9
04-tz-convention,rep5,canondoc,s1,31560,1365,0.00391,31.9,12
04-tz-convention,rep5,canondoc,s2,28959,989,0.00367,27.4,10
