chain,rep,condition,session,cost
01-vendor-feed,,,cold-probe,0.09022600000000001
01-vendor-feed,,,cold-recall,0.35498100000000005
02-memo-poison,,,cold-probe,0.227654
02-memo-poison,,,cold-recall,0.113056
03-consumer-contract,,,cold-probe,0.15785500000000002
03-consumer-contract,,,cold-recall,0.10759400000000001
04-tz-convention,,,cold-probe,0.10148199999999999
04-tz-convention,,,cold-recall,0.11109400000000001
05-import-lazy,,,cold-probe,0.159562
05-import-lazy,,,cold-recall,0.10697400000000001
