chain,rep,condition,session,cost
01-vendor-feed,rep1,bare,recall,0.34036299999999997
01-vendor-feed,rep1,bare,s1,0.07410800000000001
01-vendor-feed,rep1,bare,s2,0.05369500000000001
01-vendor-feed,rep1,bare,s3,0.07148600000000001
01-vendor-feed,rep1,canon,recall,0.029365000000000006
01-vendor-feed,rep1,canon,s1,0.072211
01-vendor-feed,rep1,canon,s2,0.12022100000000001
01-vendor-feed,rep1,canon,s3,0.12006600000000002
01-vendor-feed,rep2,bare,recall,0.129325
01-vendor-feed,rep2,bare,s1,0.071091
01-vendor-feed,rep2,bare,s2,0.047356
01-vendor-feed,rep2,bare,s3,0.086276
01-vendor-feed,rep2,canon,recall,0.023013000000000002
01-vendor-feed,rep2,canon,s1,0.067084
01-vendor-feed,rep2,canon,s2,0.092484
01-vendor-feed,rep2,canon,s3,0.17344500000000002
02-memo-poison,rep1,bare,recall,0.284753
02-memo-poison,rep1,bare,s1,0.10713500000000001
02-memo-poison,rep1,bare,s2,0.09638200000000001
02-memo-poison,rep1,bare,s3,0.151453
02-memo-poison,rep1,canon,recall,0.052843
02-memo-poison,rep1,canon,s1,0.267962
02-memo-poison,rep1,canon,s2,0.156062
02-memo-poison,rep1,canon,s3,0.086062
02-memo-poison,rep2,bare,recall,0.11310000000000002
02-memo-poison,rep2,bare,s1,0.10320399999999999
02-memo-poison,rep2,bare,s2,0.103484
02-memo-poison,rep2,bare,s3,0.17759200000000003
02-memo-poison,rep2,canon,recall,0.053013000000000005
02-memo-poison,rep2,canon,s1,0.144717
02-memo-poison,rep2,canon,s2,0.12986500000000004
02-memo-poison,rep2,canon,s3,0.21641000000000002
03-consumer-contract,rep1,bare,recall,0.360389
03-consumer-contract,rep1,bare,s1,0.054597000000000014
03-consumer-contract,rep1,bare,s2,0.07699500000000001
03-consumer-contract,rep1,bare,s3,0.10947400000000002
03-consumer-contract,rep1,canon,recall,0.046863
03-consumer-contract,rep1,canon,s1,0.09335500000000002
03-consumer-contract,rep1,canon,s2,0.129613
03-consumer-contract,rep1,canon,s3,0.11909699999999998
03-consumer-contract,rep2,bare,recall,0.159176
03-consumer-contract,rep2,bare,s1,0.06671500000000001
03-consumer-contract,rep2,bare,s2,0.06484200000000001
03-consumer-contract,rep2,bare,s3,0.10154400000000001
03-consumer-contract,rep2,canon,recall,0.039063
03-consumer-contract,rep2,canon,s1,0.143779
03-consumer-contract,rep2,canon,s2,0.125938
03-consumer-contract,rep2,canon,s3,0.131861
04-tz-convention,rep1,bare,recall,0.17241800000000002
04-tz-convention,rep1,bare,s1,0.062794
04-tz-convention,rep1,bare,s2,0.06965800000000001
04-tz-convention,rep1,bare,s3,0.10985100000000002
04-tz-convention,rep1,canon,recall,0.045873000000000004
04-tz-convention,rep1,canon,s1,0.10145200000000001
04-tz-convention,rep1,canon,s2,0.150729
04-tz-convention,rep1,canon,s3,0.213635
04-tz-convention,rep2,bare,recall,0.346268
04-tz-convention,rep2,bare,s1,0.066019
04-tz-convention,rep2,bare,s2,0.054228000000000005
04-tz-convention,rep2,bare,s3,0.084618
04-tz-convention,rep2,canon,recall,0.055143000000000005
04-tz-convention,rep2,canon,s1,0.071854
04-tz-convention,rep2,canon,s2,0.12201900000000002
04-tz-convention,rep2,canon,s3,0.23111400000000004
05-import-lazy,rep1,bare,recall,0.16784500000000002
05-import-lazy,rep1,bare,s1,0.078868
05-import-lazy,rep1,bare,s2,0.063298
05-import-lazy,rep1,bare,s3,0.13657200000000003
05-import-lazy,rep1,canon,recall,0.070385
05-import-lazy,rep1,canon,s1,0.126932
05-import-lazy,rep1,canon,s2,0.11953099999999998
05-import-lazy,rep1,canon,s3,0.18847100000000003
05-import-lazy,rep2,bare,recall,0.14072
05-import-lazy,rep2,bare,s1,0.14464100000000002
05-import-lazy,rep2,bare,s2,0.052591
05-import-lazy,rep2,bare,s3,0.178568
05-import-lazy,rep2,canon,recall,0.055051
05-import-lazy,rep2,canon,s1,0.16114000000000003
05-import-lazy,rep2,canon,s2,0.123475
05-import-lazy,rep2,canon,s3,0.22607300000000005
