chain,rep,condition,session,tokens,output,cost,wallSeconds,toolCalls
01-vendor-feed,rep1,canon,s1,17694,1003,0.07221,31.7,11
01-vendor-feed,rep1,canon,s2,21687,1160,0.12022,35.6,11
01-vendor-feed,rep1,canon,s3,24807,1455,0.12007,40.6,13
01-vendor-feed,rep1,canon,recall,5124,163,0.02937,9.9,2
01-vendor-feed,rep1,bare,s1,12867,1103,0.07411,24.4,8
01-vendor-feed,rep1,bare,s2,8330,549,0.0537,18.1,6
01-vendor-feed,rep1,bare,s3,14329,1215,0.07149,28.9,11
01-vendor-feed,rep1,bare,recall,67434,445,0.34036,14.5,9
01-vendor-feed,rep2,canon,s1,13706,978,0.06708,24.1,8
01-vendor-feed,rep2,canon,s2,19432,1222,0.09248,33.7,10
01-vendor-feed,rep2,canon,s3,31939,1588,0.17345,40.1,14
01-vendor-feed,rep2,canon,recall,5267,158,0.02301,14.5,2
01-vendor-feed,rep2,bare,s1,12560,1085,0.07109,30.4,9
01-vendor-feed,rep2,bare,s2,9463,635,0.04736,19.2,9
01-vendor-feed,rep2,bare,s3,15013,1407,0.08628,29.9,9
01-vendor-feed,rep2,bare,recall,24278,327,0.12932,13.6,6
02-memo-poison,rep1,canon,s1,68447,3259,0.26796,69.6,20
02-memo-poison,rep1,canon,s2,41388,2054,0.15606,50.7,14
02-memo-poison,rep1,canon,s3,22365,1315,0.08606,29.3,11
02-memo-poison,rep1,canon,recall,12263,474,0.05284,16.1,5
02-memo-poison,rep1,bare,s1,22858,1389,0.10714,30.6,10
02-memo-poison,rep1,bare,s2,21952,1238,0.09638,33.6,12
02-memo-poison,rep1,bare,s3,42852,2557,0.15145,51.0,15
02-memo-poison,rep1,bare,recall,55972,501,0.28475,15.7,11
02-memo-poison,rep2,canon,s1,30626,2003,0.14472,46.0,12
02-memo-poison,rep2,canon,s2,34474,1817,0.12987,47.1,14
02-memo-poison,rep2,canon,s3,56594,2818,0.21641,63.6,19
02-memo-poison,rep2,canon,recall,12049,556,0.05301,24.3,6
02-memo-poison,rep2,bare,s1,30270,1678,0.1032,36.0,12
02-memo-poison,rep2,bare,s2,22493,1609,0.10348,39.3,11
02-memo-poison,rep2,bare,s3,51624,2710,0.17759,56.0,16
02-memo-poison,rep2,bare,recall,21026,362,0.1131,14.1,3
03-consumer-contract,rep1,canon,s1,20229,1294,0.09336,33.1,11
03-consumer-contract,rep1,canon,s2,31873,1622,0.12961,40.5,16
03-consumer-contract,rep1,canon,s3,35432,1793,0.1191,47.3,16
03-consumer-contract,rep1,canon,recall,10407,648,0.04686,20.5,8
03-consumer-contract,rep1,bare,s1,16560,549,0.0546,17.1,9
03-consumer-contract,rep1,bare,s2,13639,952,0.077,23.0,10
03-consumer-contract,rep1,bare,s3,27631,1265,0.10947,38.8,15
03-consumer-contract,rep1,bare,recall,104588,877,0.36039,24.4,9
03-consumer-contract,rep2,canon,s1,28794,1411,0.14378,36.5,14
03-consumer-contract,rep2,canon,s2,33148,1700,0.12594,43.9,15
03-consumer-contract,rep2,canon,s3,33074,1813,0.13186,47.9,14
03-consumer-contract,rep2,canon,recall,6791,620,0.03906,23.1,4
03-consumer-contract,rep2,bare,s1,15592,641,0.06672,21.9,9
03-consumer-contract,rep2,bare,s2,14652,936,0.06484,28.0,11
03-consumer-contract,rep2,bare,s3,34958,1334,0.10154,36.3,16
03-consumer-contract,rep2,bare,recall,46565,1195,0.15918,27.9,9
04-tz-convention,rep1,canon,s1,20262,1252,0.10145,35.4,11
04-tz-convention,rep1,canon,s2,32927,1328,0.15073,36.1,11
04-tz-convention,rep1,canon,s3,66528,2093,0.21363,42.9,10
04-tz-convention,rep1,canon,recall,8223,534,0.04587,20.7,8
04-tz-convention,rep1,bare,s1,17071,449,0.06279,19.9,9
04-tz-convention,rep1,bare,s2,14136,952,0.06966,21.2,5
04-tz-convention,rep1,bare,s3,22343,1928,0.10985,37.2,9
