chain,rep,condition,session,cost
01-vendor-feed,rep1,agentsmd,recall,0.00608504
01-vendor-feed,rep1,agentsmd,s1,0.00370908
01-vendor-feed,rep1,agentsmd,s2,0.00580576
01-vendor-feed,rep1,agentsmd,s3,0.0050561600000000005
01-vendor-feed,rep1,bare,recall,0.013773120000000003
01-vendor-feed,rep1,bare,s1,0.00316224
01-vendor-feed,rep1,bare,s2,0.00204412
01-vendor-feed,rep1,bare,s3,0.0020934400000000002
01-vendor-feed,rep1,canon,recall,0.011351839999999998
01-vendor-feed,rep1,canon,s1,0.00309292
01-vendor-feed,rep1,canon,s2,0.00251612
01-vendor-feed,rep1,canon,s3,0.005083840000000001
01-vendor-feed,rep1,canondoc,recall,0.0026000400000000005
01-vendor-feed,rep1,canondoc,s1,0.0037018000000000003
01-vendor-feed,rep1,canondoc,s2,0.0033680400000000005
01-vendor-feed,rep1,canondoc,s3,0.00589292
01-vendor-feed,rep2,agentsmd,recall,0.00490492
01-vendor-feed,rep2,agentsmd,s1,0.00451908
01-vendor-feed,rep2,agentsmd,s2,0.00486172
01-vendor-feed,rep2,agentsmd,s3,0.005178599999999999
01-vendor-feed,rep2,bare,recall,0.013703800000000002
01-vendor-feed,rep2,bare,s1,0.00303556
01-vendor-feed,rep2,bare,s2,0.00195952
01-vendor-feed,rep2,bare,s3,0.0031325199999999997
01-vendor-feed,rep2,canon,recall,0.008500879999999999
01-vendor-feed,rep2,canon,s1,0.00412976
01-vendor-feed,rep2,canon,s2,0.0027828
01-vendor-feed,rep2,canon,s3,0.00380588
01-vendor-feed,rep2,canondoc,recall,0.0009889200000000001
01-vendor-feed,rep2,canondoc,s1,0.004443840000000001
01-vendor-feed,rep2,canondoc,s2,0.00426648
01-vendor-feed,rep2,canondoc,s3,0.0044845200000000005
02-memo-poison,rep1,agentsmd,recall,0.00751672
02-memo-poison,rep1,agentsmd,s1,0.00430872
02-memo-poison,rep1,agentsmd,s2,0.00651088
02-memo-poison,rep1,agentsmd,s3,0.00847232
02-memo-poison,rep1,bare,recall,0.010830200000000002
02-memo-poison,rep1,bare,s1,0.0030923599999999997
02-memo-poison,rep1,bare,s2,0.0039090800000000005
02-memo-poison,rep1,bare,s3,0.0053724
02-memo-poison,rep1,canon,recall,0.012617920000000001
02-memo-poison,rep1,canon,s1,0.0041427600000000005
02-memo-poison,rep1,canon,s2,0.006177320000000001
02-memo-poison,rep1,canon,s3,0.00763092
02-memo-poison,rep1,canondoc,recall,0.007601240000000001
02-memo-poison,rep1,canondoc,s1,0.00443836
02-memo-poison,rep1,canondoc,s2,0.00873556
02-memo-poison,rep1,canondoc,s3,0.008534080000000001
02-memo-poison,rep2,agentsmd,recall,0.012222080000000001
02-memo-poison,rep2,agentsmd,s1,0.00400244
02-memo-poison,rep2,agentsmd,s2,0.004706599999999999
02-memo-poison,rep2,agentsmd,s3,0.007281800000000001
02-memo-poison,rep2,bare,recall,0.01003992
02-memo-poison,rep2,bare,s1,0.0027854800000000003
02-memo-poison,rep2,bare,s2,0.00338448
02-memo-poison,rep2,bare,s3,0.00571228
02-memo-poison,rep2,canon,recall,0.012591560000000002
02-memo-poison,rep2,canon,s1,0.0037497999999999997
02-memo-poison,rep2,canon,s2,0.00515492
02-memo-poison,rep2,canon,s3,0.00872276
02-memo-poison,rep2,canondoc,recall,0.012062400000000001
02-memo-poison,rep2,canondoc,s1,0.00452268
02-memo-poison,rep2,canondoc,s2,0.00493464
02-memo-poison,rep2,canondoc,s3,0.007224600000000001
03-consumer-contract,rep1,agentsmd,recall,0.0063333600000000006
03-consumer-contract,rep1,agentsmd,s1,0.004960279999999999
03-consumer-contract,rep1,agentsmd,s2,0.0057098
03-consumer-contract,rep1,agentsmd,s3,0.0048716
03-consumer-contract,rep1,bare,recall,0.01232992
03-consumer-contract,rep1,bare,s1,0.00349068
03-consumer-contract,rep1,bare,s2,0.0022724000000000004
03-consumer-contract,rep1,bare,s3,0.0044360400000000005
03-consumer-contract,rep1,canon,recall,0.00256324
03-consumer-contract,rep1,canon,s1,0.00262484
03-consumer-contract,rep1,canon,s2,0.00356028
03-consumer-contract,rep1,canon,s3,0.0038658
03-consumer-contract,rep1,canondoc,recall,0.00127352
03-consumer-contract,rep1,canondoc,s1,0.00392752
03-consumer-contract,rep1,canondoc,s2,0.004581
03-consumer-contract,rep1,canondoc,s3,0.0060293199999999995
03-consumer-contract,rep2,agentsmd,recall,0.0031165200000000002
03-consumer-contract,rep2,agentsmd,s1,0.0045213200000000005
03-consumer-contract,rep2,agentsmd,s2,0.0048391599999999995
03-consumer-contract,rep2,agentsmd,s3,0.00410748
03-consumer-contract,rep2,bare,recall,0.00667328
03-consumer-contract,rep2,bare,s1,0.0028466000000000003
03-consumer-contract,rep2,bare,s2,0.0020946000000000003
03-consumer-contract,rep2,bare,s3,0.004285840000000001
