chain,rep,condition,session,tokens,output,cost,wallSeconds,toolCalls
01-vendor-feed,rep1,canon,s1,21581,1230,0.00309,25.4,12
01-vendor-feed,rep1,canon,s2,17256,857,0.00252,24.7,10
01-vendor-feed,rep1,canon,s3,48986,1542,0.00508,37.2,14
01-vendor-feed,rep1,canon,recall,57083,583,0.01135,21.0,11
01-vendor-feed,rep1,canondoc,s1,25716,1153,0.0037,33.3,12
01-vendor-feed,rep1,canondoc,s2,19994,953,0.00337,26.6,10
01-vendor-feed,rep1,canondoc,s3,36824,1801,0.00589,43.5,15
01-vendor-feed,rep1,canondoc,recall,18009,612,0.0026,18.3,8
01-vendor-feed,rep1,bare,s1,15637,1537,0.00316,29.0,7
01-vendor-feed,rep1,bare,s2,9113,594,0.00204,16.4,8
01-vendor-feed,rep1,bare,s3,10048,926,0.00209,22.6,8
01-vendor-feed,rep1,bare,recall,68222,482,0.01377,16.0,10
01-vendor-feed,rep1,agentsmd,s1,32133,1464,0.00371,35.4,10
01-vendor-feed,rep1,agentsmd,s2,72784,1592,0.00581,41.1,19
01-vendor-feed,rep1,agentsmd,s3,37048,2346,0.00506,41.5,12
01-vendor-feed,rep1,agentsmd,recall,40095,611,0.00609,16.0,7
01-vendor-feed,rep2,canon,s1,26306,1432,0.00413,34.7,10
01-vendor-feed,rep2,canon,s2,17014,946,0.00278,28.2,8
01-vendor-feed,rep2,canon,s3,26776,1089,0.00381,29.6,13
01-vendor-feed,rep2,canon,recall,61982,532,0.0085,24.3,7
01-vendor-feed,rep2,canondoc,s1,30171,1605,0.00444,38.7,12
01-vendor-feed,rep2,canondoc,s2,28696,1174,0.00427,29.8,11
01-vendor-feed,rep2,canondoc,s3,31648,1405,0.00448,38.0,14
01-vendor-feed,rep2,canondoc,recall,5521,178,0.00099,9.1,2
01-vendor-feed,rep2,bare,s1,16079,1566,0.00304,29.5,10
01-vendor-feed,rep2,bare,s2,8779,587,0.00196,18.9,6
01-vendor-feed,rep2,bare,s3,18736,1307,0.00313,29.6,12
01-vendor-feed,rep2,bare,recall,132385,752,0.0137,18.9,7
01-vendor-feed,rep2,agentsmd,s1,36435,1476,0.00452,29.8,11
01-vendor-feed,rep2,agentsmd,s2,46635,1030,0.00486,34.1,14
01-vendor-feed,rep2,agentsmd,s3,44370,1935,0.00518,36.1,12
01-vendor-feed,rep2,agentsmd,recall,26337,550,0.0049,13.1,5
02-memo-poison,rep1,canon,s1,26210,1397,0.00414,29.6,11
02-memo-poison,rep1,canon,s2,34709,1642,0.00618,43.4,15
02-memo-poison,rep1,canon,s3,59099,1928,0.00763,41.9,18
02-memo-poison,rep1,canon,recall,61783,671,0.01262,18.7,10
02-memo-poison,rep1,canondoc,s1,31421,1686,0.00444,33.9,11
02-memo-poison,rep1,canondoc,s2,80223,1564,0.00874,35.8,10
02-memo-poison,rep1,canondoc,s3,86957,2229,0.00853,54.2,21
02-memo-poison,rep1,canondoc,recall,40213,786,0.0076,19.3,7
02-memo-poison,rep1,bare,s1,21530,1267,0.00309,26.8,8
02-memo-poison,rep1,bare,s2,22515,1160,0.00391,26.2,10
02-memo-poison,rep1,bare,s3,50620,2164,0.00537,43.3,12
02-memo-poison,rep1,bare,recall,52384,453,0.01083,13.0,7
02-memo-poison,rep1,agentsmd,s1,36250,1222,0.00431,28.1,10
02-memo-poison,rep1,agentsmd,s2,63877,1565,0.00651,35.5,16
02-memo-poison,rep1,agentsmd,s3,80723,2881,0.00847,59.7,20
02-memo-poison,rep1,agentsmd,recall,76913,903,0.00752,21.5,7
02-memo-poison,rep2,canon,s1,28975,1466,0.00375,30.9,12
02-memo-poison,rep2,canon,s2,34153,1704,0.00515,42.8,14
02-memo-poison,rep2,canon,s3,95601,3524,0.00872,71.3,24
02-memo-poison,rep2,canon,recall,64705,576,0.01259,19.3,9
02-memo-poison,rep2,canondoc,s1,29134,1513,0.00452,33.3,13
02-memo-poison,rep2,canondoc,s2,29863,1603,0.00493,35.7,14
02-memo-poison,rep2,canondoc,s3,58686,2199,0.00722,51.8,20
02-memo-poison,rep2,canondoc,recall,116060,1058,0.01206,30.3,10
02-memo-poison,rep2,bare,s1,17560,1055,0.00279,24.4,7
02-memo-poison,rep2,bare,s2,21446,1340,0.00338,28.8,11
02-memo-poison,rep2,bare,s3,65642,1899,0.00571,38.0,9
02-memo-poison,rep2,bare,recall,49532,524,0.01004,14.8,8
