chain,rep,condition,check,isTrap,pass,result
01-vendor-feed,rep1,canon,orders_total,False,True,pass
01-vendor-feed,rep1,canon,inventory_pagination,False,True,pass
01-vendor-feed,rep1,canon,inventory_sentinel,True,True,pass
01-vendor-feed,rep1,canondoc,orders_total,False,True,pass
01-vendor-feed,rep1,canondoc,inventory_pagination,False,True,pass
01-vendor-feed,rep1,canondoc,inventory_sentinel,True,True,pass
01-vendor-feed,rep2,canon,orders_total,False,True,pass
01-vendor-feed,rep2,canon,inventory_pagination,False,True,pass
01-vendor-feed,rep2,canon,inventory_sentinel,True,True,pass
01-vendor-feed,rep2,canondoc,orders_total,False,True,pass
01-vendor-feed,rep2,canondoc,inventory_pagination,False,True,pass
01-vendor-feed,rep2,canondoc,inventory_sentinel,True,True,pass
02-memo-poison,rep1,canon,enrich_correct,False,True,pass
02-memo-poison,rep1,canon,resolve_batched,False,True,pass
02-memo-poison,rep1,canon,taxonomy_fresh,True,True,pass
02-memo-poison,rep1,canon,checks_fresh,True,True,pass
02-memo-poison,rep1,canon,suite_green,False,True,pass
02-memo-poison,rep1,canondoc,enrich_correct,False,True,pass
02-memo-poison,rep1,canondoc,resolve_batched,False,True,pass
02-memo-poison,rep1,canondoc,taxonomy_fresh,True,True,pass
02-memo-poison,rep1,canondoc,checks_fresh,True,True,pass
02-memo-poison,rep1,canondoc,suite_green,False,True,pass
02-memo-poison,rep2,canon,enrich_correct,False,True,pass
02-memo-poison,rep2,canon,resolve_batched,False,True,pass
02-memo-poison,rep2,canon,taxonomy_fresh,True,True,pass
02-memo-poison,rep2,canon,checks_fresh,True,True,pass
02-memo-poison,rep2,canon,suite_green,False,True,pass
02-memo-poison,rep2,canondoc,enrich_correct,False,True,pass
02-memo-poison,rep2,canondoc,resolve_batched,False,True,pass
02-memo-poison,rep2,canondoc,taxonomy_fresh,True,True,pass
02-memo-poison,rep2,canondoc,checks_fresh,True,True,pass
02-memo-poison,rep2,canondoc,suite_green,False,True,pass
03-consumer-contract,rep1,canon,job_runs_clean,False,True,pass
03-consumer-contract,rep1,canon,report_parses_clean,True,True,pass
03-consumer-contract,rep1,canon,report_totals_match,True,True,pass
03-consumer-contract,rep1,canon,dollars_on_display,False,True,pass
03-consumer-contract,rep1,canon,suite_still_passes,True,True,pass
03-consumer-contract,rep1,canondoc,job_runs_clean,False,True,pass
03-consumer-contract,rep1,canondoc,report_parses_clean,True,True,pass
03-consumer-contract,rep1,canondoc,report_totals_match,True,True,pass
03-consumer-contract,rep1,canondoc,dollars_on_display,False,True,pass
03-consumer-contract,rep1,canondoc,suite_still_passes,True,True,pass
03-consumer-contract,rep2,canon,job_runs_clean,False,True,pass
03-consumer-contract,rep2,canon,report_parses_clean,True,True,pass
03-consumer-contract,rep2,canon,report_totals_match,True,True,pass
03-consumer-contract,rep2,canon,dollars_on_display,False,True,pass
03-consumer-contract,rep2,canon,suite_still_passes,True,True,pass
03-consumer-contract,rep2,canondoc,job_runs_clean,False,True,pass
03-consumer-contract,rep2,canondoc,report_parses_clean,True,True,pass
03-consumer-contract,rep2,canondoc,report_totals_match,True,True,pass
03-consumer-contract,rep2,canondoc,dollars_on_display,False,True,pass
03-consumer-contract,rep2,canondoc,suite_still_passes,True,True,pass
