chain,rep,condition,fact,plantOnly,asserted
01-vendor-feed,rep1,canon,cap_50,False,True
01-vendor-feed,rep1,canon,docs_1000,True,True
01-vendor-feed,rep1,canon,silent_truncation,False,True
01-vendor-feed,rep1,canon,sentinel_999,False,True
01-vendor-feed,rep1,canondoc,cap_50,False,True
01-vendor-feed,rep1,canondoc,docs_1000,True,False
01-vendor-feed,rep1,canondoc,silent_truncation,False,True
01-vendor-feed,rep1,canondoc,sentinel_999,False,True
01-vendor-feed,rep2,canon,cap_50,False,True
01-vendor-feed,rep2,canon,docs_1000,True,True
01-vendor-feed,rep2,canon,silent_truncation,False,True
01-vendor-feed,rep2,canon,sentinel_999,False,True
01-vendor-feed,rep2,canondoc,cap_50,False,True
01-vendor-feed,rep2,canondoc,docs_1000,True,True
01-vendor-feed,rep2,canondoc,silent_truncation,False,True
01-vendor-feed,rep2,canondoc,sentinel_999,False,True
02-memo-poison,rep1,canon,no_memo_rule,False,True
02-memo-poison,rep1,canon,rebalancer_mutates,True,True
02-memo-poison,rep1,canon,stale_alias_incident,True,True
02-memo-poison,rep1,canon,sanctioned_batch,False,True
02-memo-poison,rep1,canondoc,no_memo_rule,False,True
02-memo-poison,rep1,canondoc,rebalancer_mutates,True,True
02-memo-poison,rep1,canondoc,stale_alias_incident,True,True
02-memo-poison,rep1,canondoc,sanctioned_batch,False,True
02-memo-poison,rep2,canon,no_memo_rule,False,True
02-memo-poison,rep2,canon,rebalancer_mutates,True,True
02-memo-poison,rep2,canon,stale_alias_incident,True,True
02-memo-poison,rep2,canon,sanctioned_batch,False,True
02-memo-poison,rep2,canondoc,no_memo_rule,False,True
02-memo-poison,rep2,canondoc,rebalancer_mutates,True,True
02-memo-poison,rep2,canondoc,stale_alias_incident,True,True
02-memo-poison,rep2,canondoc,sanctioned_batch,False,True
03-consumer-contract,rep1,canon,consumer_repo_fin_ledger_intake,True,True
03-consumer-contract,rep1,canon,amounts_integer_cents,False,True
03-consumer-contract,rep1,canon,no_commas_or_dollar_signs,False,True
03-consumer-contract,rep1,canon,violation_dropped_silently,True,True
03-consumer-contract,rep1,canon,dollars_display_only,False,True
03-consumer-contract,rep1,canondoc,consumer_repo_fin_ledger_intake,True,True
03-consumer-contract,rep1,canondoc,amounts_integer_cents,False,True
03-consumer-contract,rep1,canondoc,no_commas_or_dollar_signs,False,True
03-consumer-contract,rep1,canondoc,violation_dropped_silently,True,True
03-consumer-contract,rep1,canondoc,dollars_display_only,False,True
03-consumer-contract,rep2,canon,consumer_repo_fin_ledger_intake,True,True
03-consumer-contract,rep2,canon,amounts_integer_cents,False,True
03-consumer-contract,rep2,canon,no_commas_or_dollar_signs,False,True
03-consumer-contract,rep2,canon,violation_dropped_silently,True,True
03-consumer-contract,rep2,canon,dollars_display_only,False,True
03-consumer-contract,rep2,canondoc,consumer_repo_fin_ledger_intake,True,True
03-consumer-contract,rep2,canondoc,amounts_integer_cents,False,True
03-consumer-contract,rep2,canondoc,no_commas_or_dollar_signs,False,True
03-consumer-contract,rep2,canondoc,violation_dropped_silently,True,True
03-consumer-contract,rep2,canondoc,dollars_display_only,False,True
04-tz-convention,rep1,canon,naive_utc_convention,False,True
04-tz-convention,rep1,canon,serializer_double_converts,False,True
04-tz-convention,rep1,canon,deploy_host_tz,True,True
04-tz-convention,rep1,canon,march_incident,True,True
04-tz-convention,rep1,canondoc,naive_utc_convention,False,True
04-tz-convention,rep1,canondoc,serializer_double_converts,False,True
04-tz-convention,rep1,canondoc,deploy_host_tz,True,True
04-tz-convention,rep1,canondoc,march_incident,True,True
04-tz-convention,rep2,canon,naive_utc_convention,False,True
04-tz-convention,rep2,canon,serializer_double_converts,False,True
04-tz-convention,rep2,canon,deploy_host_tz,True,True
04-tz-convention,rep2,canon,march_incident,True,False
04-tz-convention,rep2,canondoc,naive_utc_convention,False,True
04-tz-convention,rep2,canondoc,serializer_double_converts,False,True
04-tz-convention,rep2,canondoc,deploy_host_tz,True,True
04-tz-convention,rep2,canondoc,march_incident,True,True
05-import-lazy,rep1,canon,no_network_at_import,True,True
05-import-lazy,rep1,canon,whole_crontab_dies,True,True
05-import-lazy,rep1,canon,vpn_sidecar_late,False,True
05-import-lazy,rep1,canondoc,no_network_at_import,True,False
05-import-lazy,rep1,canondoc,whole_crontab_dies,True,False
05-import-lazy,rep1,canondoc,vpn_sidecar_late,False,False
05-import-lazy,rep2,canon,no_network_at_import,True,True
05-import-lazy,rep2,canon,whole_crontab_dies,True,True
05-import-lazy,rep2,canon,vpn_sidecar_late,False,True
05-import-lazy,rep2,canondoc,no_network_at_import,True,True
05-import-lazy,rep2,canondoc,whole_crontab_dies,True,True
05-import-lazy,rep2,canondoc,vpn_sidecar_late,False,True
