capture,model,arm,lineage,depth,stale,superseded_total,store_bytes,pile_bytes,articles,journal
w4,first,A,foundry_ladle_w4k8,8,11,12,11590,7827,3,8
w4,first,G,foundry_ladle_w4k8,8,7,12,12185,7827,3,8
w4,first,A,funicular_brakes_w4k8,8,11,12,13002,7875,3,8
w4,first,G,funicular_brakes_w4k8,8,9,12,14426,7875,3,8
w4,first,A,gravel_washplant_w4k8,8,11,12,20121,7950,4,8
w4,first,G,gravel_washplant_w4k8,8,9,12,13812,7950,4,8
w4,first,A,mushroom_tunnel_w4k8,8,11,12,17591,7855,3,8
w4,first,G,mushroom_tunnel_w4k8,8,4,12,11446,7855,3,8
w4,first,A,observatory_chiller_w4k8,8,12,12,19381,7995,3,8
w4,first,G,observatory_chiller_w4k8,8,2,12,10442,7995,3,8
w4,first,A,regatta_timing_w4k8,8,11,12,15196,7888,3,8
w4,first,G,regatta_timing_w4k8,8,4,12,11119,7888,3,8
w4,first,A,salt_pan_rakes_w4k8,8,10,12,15909,7802,3,8
w4,first,G,salt_pan_rakes_w4k8,8,8,12,13230,7802,4,8
w4,first,A,vineyard_netting_w4k8,8,11,12,15901,7892,3,9
w4,first,G,vineyard_netting_w4k8,8,8,12,14723,7892,3,8
w4r,second,A,foundry_ladle_w4k8,8,11,12,10557,7827,3,8
w4r,second,G,foundry_ladle_w4k8,8,7,12,10177,7827,3,8
w4r,second,A,funicular_brakes_w4k8,8,11,12,10592,7875,3,8
w4r,second,G,funicular_brakes_w4k8,8,9,12,10635,7875,3,8
w4r,second,A,gravel_washplant_w4k8,8,12,12,15953,7950,4,8
w4r,second,G,gravel_washplant_w4k8,8,1,12,9703,7950,3,8
w4r,second,A,mushroom_tunnel_w4k8,8,9,12,10433,7855,3,8
w4r,second,G,mushroom_tunnel_w4k8,8,1,12,10100,7855,3,8
w4r,second,A,observatory_chiller_w4k8,8,11,12,10265,7995,3,8
w4r,second,G,observatory_chiller_w4k8,8,11,12,10344,7995,3,8
w4r,second,A,regatta_timing_w4k8,8,11,12,10662,7888,4,8
w4r,second,G,regatta_timing_w4k8,8,11,12,10393,7888,3,8
w4r,second,A,salt_pan_rakes_w4k8,8,11,12,9853,7802,3,8
